,scientific,common
11773,N=Heliangelus viola,C=Purple-throated sunangel
11774,N=Helenium virus S,C=HelVS
11775,N=Helicoverpa zea,C=Corn earworm moth
11776,N=Hemitrygon akajei,C=Red stingray
11777,N=Hemitripterus americanus,C=Sea raven
11778,N=Hemiselmis andersenii,C=Cryptophyte alga
11779,N=Hemimysis anomala,C=Bloody red shrimp
11780,N=Hemichloris antarctica,C=Green alga
11781,N=Hemiechinus auritus,C=Long-eared hedgehog
11782,N=Hemiramphus brasiliensis,C=Ballyhoo halfbeak
11783,N=Hemigalus derbyanus,C=Banded palm civet
11784,N=Hemaris diffinis,C=Snowberry clearwing moth
11785,N=Hemerophila diva,C=Iridescent moth
11786,N=Hemileuca eglanterina,C=Elegant sheep moth
11787,N=Hemileuca electra,C=Electra buckmoth
11788,N=Hemichaena fruticosa,unknown
11789,N=Hemerophila felis,C=Moth
11790,N=Hemaris fuciformis,C=Broad-bordered bee hawk-moth
11791,N=Hemimyzon formosanus,C=Hillstream loach
11792,N=Hemidactylus frenatus,C=Common house gecko
11793,N=Hemerocallis fulva,C=Day lily
11794,N=Hemachatus haemachatus,C=Rinkhals
11795,N=Hemorrhois hippocrepis,C=Horseshoe whip snake
11796,N=Hemitragus hylocrius,C=Nilgiri tahr
11797,N=Hemitragus jemlahicus,C=Himalayan tahr
11798,N=Hemitriakis japanica,C=Japanese topeshark
11799,N=Hemitrygon laosensis,C=Mekong freshwater stingray
11800,N=Hemiscorpius lepturus,C=Scorpion
11801,N=Hemerocallis lilioasphodelus,C=Yellow day-lily
11802,N=Hemidactylus mabouia,C=House gecko
11803,N=Hemibagrus macropterus,C=Largefin longbarbel catfish
11804,N=Hemimysis margalefi,C=Opossum shrimp
11805,N=Hemileuca maia,C=Eastern buckmoth
11806,N=Hemilobophasma montaguense,C=Gladiator
11807,N=Hemigrammus marginatus,C=Bassam tetra
11808,N=Hemileuca nevadensis,C=Nevada buckmoth
11809,N=Hemiphaga novaeseelandiae,C=New Zealand pigeon
11810,N=Hemigrapsus nudus,C=Purple shore crab
11811,N=Hemigrapsus oregonensis,C=Oregon shore crab
11812,N=Hemitaurichthys polylepis,C=Pyramid butterflyfish
11813,N=Hemicentrotus pulcherrimus,C=Sea urchin
11814,N=Hemorrhois ravergieri,C=Spotted whip snake
11815,N=Hemiorchis rhodorrhachis,C=Thai ginger
11816,N=Hemigrapsus sanguineus,C=Asian shore crab
11817,N=Hemerocallis sp.,C=Daylily
11818,N=Hematodinium sp.,unknown
11819,N=Hemimyzon taitungensis,C=Hillstream loach
11820,N=Hemaris thysbe,C=Hummingbird clearwing moth
11821,N=Hemiselmis virescens,unknown
11822,N=Hemignathus wilson,C=Akiapola'au
11823,N=Hemitaurichthys zoster,C=Brown-and-white butterflyfish
11824,N=Heniochus acuminatus,C=Longfin bannerfish
11825,N=Henicophaps albifrons,C=New Guinea bronzewing
11826,N=Heniochus chrysostomus,C=Threeband pennantfish
11827,N=Hendra virus (isolate Horse/Autralia/Hendra/1994),unknown
11828,N=Henricia leviuscula,C=Pacific blood star
11829,N=Hentzia mitrata,C=White-jawed jumping spider
11830,N=Henrardia persica,unknown
11831,N=Heniochus pleurotaenia,C=Phantom bannerfish
11832,N=Henosepilachna pustulosa,C=Ladybird beetle
11833,N=Henricia sanguinolenta,C=Blood sea star
11834,N=Henneguya salminicola,C=Myxosporean
11835,N=Heniochus varius,C=Horned bannerfish
11836,N=Henosepilachna vigintioctomaculata,C=Potato ladybird beetle
11837,N=Hephaestus fuliginosus,C=Black bream
11838,N=Hepialus humuli,C=Ghost moth
11839,N=Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785 / 114-95),unknown
11840,N=Herminiimonas arsenicoxydans,unknown
11841,N=Heremites auratus,C=Golden grass mabuya
11842,N=Herpetosiphon aurantiacus,unknown
11843,N=Herpetotheres cachinnans,C=Laughing falcon
11844,N=Hericium coralloides,C=Coral tooth fungus
11845,N=Herichthys carpintis,C=Lowland cichlid
11846,N=Hermissenda crassicornis,C=Opalescent sea slug
11847,N=Hermodice carunculata,C=Bearded fireworm
11848,N=Herichthys cyanoguttatus,C=Rio Grande cichlid
11849,N=Herpestes edwardsi,C=Indian gray mongoose
11850,N=Heros efasciatus,C=Common severum
11851,N=Hericium erinaceus,C=Lion's mane mushroom
11852,N=Hertwigia falcifera,C=Sponge
11853,N=Hercinothrips femoralis,C=Banded greenhouse thrips
11854,N=Hermeuptychia hermes,C=Hermes satyr
11855,N=Herbinix hemicellulosilytica,unknown
11856,N=Herpestes ichneumon,C=Egyptian mongoose
11857,N=Hermetia illucens,C=Black soldier fly
11858,N=Herpestes javanicus,C=Small Indian mongoose
11859,N=Herichthys labridens,C=Curve-bar cichlid
11860,N=Herpolitha limax,C=Striate boomerang coral
11861,N=Herpetomonas megaseliae,unknown
11862,N=Herichthys minckleyi,C=Minkley's cichlid
11863,N=Heriaeus mellotteei,C=Crab spider
11864,N=Heracleum mantegazzianum,C=Giant hogweed
11865,N=Herdmania momus,C=Brown sea squirt
11866,N=Herennia multipuncta,C=Ornamental tree trunk spider
11867,N=Herpetomonas muscarum,unknown
11868,N=Heracleum maximum,C=Cow parsnip
11869,N=Herpestes naso,C=Long-nosed mongoose
11870,N=Hernandia nymphaeifolia,C=Sea hearse
11871,N=Herichthys pantostictus,C=Chairel cichlid
11872,N=Hererolandia pearsonii,unknown
11873,N=Herbaspirillum sp. (strain BH-1),unknown
11874,N=Herbaspirillum seropedicae,unknown
11875,N=Hermeuptychia sosybius,C=Carolina satyr
11876,N=Herpele squalostoma,C=Congo caecilian
11877,N=Herbaspirillum seropedicae (strain SmR1),unknown
11878,N=Herichthys steindachneri,C=Steindachner's cichlid
11879,N=Herichthys tamasopoensis,C=Tamasopo cichlid
11880,N=Herpetogramma thestealis,C=Zigzag herpetogramma moth
11881,N=Hesperocyparis arizonica,C=Arizona cypress
11882,N=Hesiolyra bergi,C=Polychaete worm
11883,N=Hesperophylax designatus,C=Silver striped caddisfly
11884,N=Hesperiphona vespertina,C=Evening grosbeak
11885,N=Hesperotettix viridis,C=Snakeweed grasshopper
11886,N=Hesperoyucca whipplei,C=Our Lord's candle
11887,N=Heterosigma akashiwo (strain NIES-293 / 8280G21-1),unknown
11888,N=Heterosigma akashiwo (strain CCMP452 / OLISTH),unknown
11889,N=Heteronychus arator,C=African black beetle
11890,N=Heterosigma akashiwo,C=Chromophytic alga
11891,N=Heteromyias albispecularis,C=Ashy robin
11892,N=Hetaerina americana,C=American rubyspot damselfly
11893,N=Heterobasidion annosum,C=Root rot fungus
11894,N=Heteromys anomalus,C=Caribbean spiny pocket mouse
11895,N=Heteromorpha arborescens,C=Parsley tree
11896,N=Heterodera avenae,C=Cereal cyst nematode worm
11897,N=Heterorhabditis bacteriophora,C=Entomopathogenic nematode
11898,N=Heterixalus betsileo,C=Betsileo reed frog
11899,N=Heterololigo bleekeri,C=Spear squid
11900,N=Heterohyrax brucei,C=Yellow-spotted hyrax
11901,N=Heterocapsa circularisquama,C=Dinoflagellate
11902,N=Heteractis crispa,C=Leathery sea anemone
11903,N=Heteromys desmarestianus,C=Desmarest's spiny pocket mouse
11904,N=Heteropteryx dilatata,C=Malayan jungle nymph walking stick
11905,N=Heteranthera dubia,C=Water star-grass
11906,N=Heteromastus filiformis,C=Polychaete worm
11907,N=Heteropneustes fossilis,C=Stinging catfish
11908,N=Heterodontus francisci,C=Horn shark
11909,N=Heteroxenia fuscescens,C=Pulse coral
11910,N=Heterocephalus glaber,C=Naked mole rat
11911,N=Heteranthera gardneri,C=Gardner's hydrothrix
11912,N=Heterocarpus gibbosus,C=Humpback nylon shrimp
11913,N=Heterodera glycines,C=Soybean cyst nematode worm
11914,N=Heteroctenus garridoi,C=Cuban scorpion
11915,N=Heteromys gaumeri,C=Gaumer's spiny pocket mouse
11916,N=Heteroconger hassi,C=Spotted garden-eel
11917,N=Heterodactyla hemprichii,C=Hemprich's sea anemone
11918,N=Heterobasidion irregulare (strain TC 32-1),unknown
11919,N=Heterometrus laoticus,C=Thai giant scorpion
11920,N=Heteranthera limosa,C=Blue mud-plantain
11921,N=Heterocentrotus mammillatus,C=Slate-pencil urchin
11922,N=Heteroscodra maculata,C=Togo starburst tarantula
11923,N=Heterorhabditis megidis,C=Entomopathogenic nematode
11924,N=Heteractis magnifica,C=Magnificent sea anemone
11925,N=Heteronympha merope,C=Common brown butterfly
11926,N=Heteropterus morpheus,C=Large chequered skipper
11927,N=Heterophrys marina,C=Heliozoan
11928,N=Heterocapsa niei,C=Dinoflagellate
11929,N=Heterostelium pallidum (strain ATCC 26659 / Pp 5 / PN500),C=Cellular slime mold
11930,N=Heterostelium pallidum,C=Cellular slime mold
11931,N=Heterometrus petersii,C=Asian forest scorpion
11932,N=Heteranthelium piliferum,unknown
11933,N=Heterodon platirhinos,C=Eastern hognose snake
11934,N=Heteropoda pingtungensis,C=Pingtung huntsman spider
11935,N=Heterodontus portusjacksoni,C=Port Jackson shark
11936,N=Heterocapsa pygmaea,C=Dinoflagellate
11937,N=Heterocapsa rotundata,C=Dinoflagellate
11938,N=Heteranthera rotundifolia,C=Roundleaf mudplantain
11939,N=Heterotis rotundifolia,C=Spanish shawl
11940,N=Heterodera schachtii,C=Sugarbeet cyst nematode
11941,N=Heterodon simus,C=Southern hognose snake
11942,N=Heterometrus spinifer,C=Asia giant forest scorpion
11943,N=Heterocentron subtriplinervium,C=Pearlflower
11944,N=Heterocapsa triquetra,C=Dinoflagellate
11945,N=Heteropoda venatoria,C=Brown huntsman spider
11946,N=Heterodera zeae,C=Corn cyst nematode worm
11947,N=Heteranthera zosterifolia,C=Stargrass
11948,N=Heuchera micrantha,C=Alum root
11949,N=Heuchera sanguinea,C=Coralbells
11950,N=Hepatitis E virus,C=HEV
11951,N=Hevea brasiliensis,C=Para rubber tree
11952,N=Hepatitis E virus genotype 1 (isolate Human/Burma),C=HEV-1
11953,N=Hepatitis E virus genotype 1 (isolate Human/China/HeBei/1987),C=HEV
11954,N=Hepatitis E virus genotype 4 (isolate Human/China/T1),C=HEV-4
11955,N=Hepatitis E virus genotype 1 (isolate Human/India/Hyderabad),C=HEV-1
11956,N=Hepatitis E virus genotype 2 (isolate Human/Mexico),C=HEV-2
11957,N=Hepatitis E virus genotype 3 (isolate Swine/United States/swUS1),C=HEV-3
11958,N=Hepatitis E virus genotype 1 (isolate Human/Myanmar/HEVNE8L),C=HEV-1
11959,N=Hepatitis E virus genotype 1 (isolate Human/Pakistan/Sar-55),C=HEV-1
11960,N=Hepatitis E virus (isolate Rhesus/HT-4),C=HEV
11961,N=Hepatitis E virus genotype 3 (isolate Human/United States/US2),C=HEV-3
11962,N=Hexagenia atrocaudata,C=Mayfly
11963,N=Hexophthalma dolichocephala,C=Afrotropical spider
11964,N=Hexaprotodon liberiensis,C=Pygmy hippopotamus
11965,N=Hexagenia limbata,C=Mayfly
11966,N=Hexagrammos otakii,C=Fat greenling
11967,N=Hexagenia rigida,C=Mayfly
11968,N=Hexaplex trunculus,C=Banded dye-murex
11969,N=Hibiscus green spot virus (isolate Citrus volkameriana /USA/WAI 1-1/2009),C=HGSV-2
11970,N=Heron hepatitis B virus,C=HHBV
11971,N=Human herpesvirus 1,C=HHV-1
11972,N=Human herpesvirus 1 (strain 17),C=HHV-1
11973,N=Human herpesvirus 1 (strain A44),C=HHV-1
11974,N=Human herpesvirus 1 (strain R19),C=HHV-1
11975,N=Human herpesvirus 1 (strain Angelotti),C=HHV-1
11976,N=Human herpesvirus 1 (strain CL101),C=HHV-1
11977,N=Human herpesvirus 1 (strain CVG-2),C=HHV-1
11978,N=Human herpesvirus 1 (strain HFEM),C=HHV-1
11979,N=Human herpesvirus 1 (strain F),C=HHV-1
11980,N=Human herpesvirus 1 (strain HZT),C=HHV-1
11981,N=Human herpesvirus 1 (strain KOS),C=HHV-1
11982,N=Human herpesvirus 1 (strain MP),C=HHV-1
11983,N=Human herpesvirus 1 (strain MGH-10),C=HHV-1
11984,N=Human herpesvirus 1 (strain Patton),C=HHV-1
11985,N=Human herpesvirus 1 (strain R15),C=HHV-1
11986,N=Human herpesvirus 1 (strain SC16),C=HHV-1
11987,N=Human herpesvirus 2,C=HHV-2
11988,N=Human herpesvirus 2 (strain 186),C=HHV-2
11989,N=Human herpesvirus 2 (strain 333),C=HHV-2
11990,N=Human herpesvirus 2 (strain B4327UR),C=HHV-2
11991,N=Human herpesvirus 2 (strain G),C=HHV-2
11992,N=Human herpesvirus 2 (strain HG52),C=HHV-2
11993,N=Human herpesvirus 3,C=HHV-3
11994,N=Human herpesvirus 6A (strain GS),C=HHV-6 variant A
11995,N=Human herpesvirus 6B,C=HHV-6 variant B
11996,N=Human herpesvirus 6A (strain Uganda-1102),C=HHV-6 variant A
11997,N=Human herpesvirus 6B (strain Z29),C=HHV-6 variant B
11998,N=Human herpesvirus 7 (strain JI),C=HHV-7
11999,N=Human herpesvirus 7 (strain MUK),C=HHV-7
12000,N=Human herpesvirus 7 (strain RK),C=HHV-7
12001,N=Human herpesvirus 8,C=HHV-8
12002,N=Human herpesvirus 8 type P (isolate GK18),C=HHV-8
12003,N=Hibiscus syriacus,C=Rose of Sharon
12004,N=Hibiscus trionum,C=Flower of an hour
12005,N=Hieracium piloselloides,C=King devil hawkweed
12006,N=Hierophis viridiflavus,C=Green whip snake
12007,N=Himantolophus albinares,C=Footballfish
12008,N=Himantolophus groenlandicus,C=Atlantic footballfish
12009,N=Himantopus himantopus,C=Black-winged stilt
12010,N=Hime japonica,C=Japanese thread-sail fish
12011,N=Himantopus mexicanus,C=Black-necked stilt
12012,N=Himantura signifer,C=White-rimmed stingray
12013,N=Hipposideros abae,C=Aba leaf-nosed bat
12014,N=Hippocampus abdominalis,C=Big-bellied seahorse
12015,N=Hippocampus algiricus,C=West African seahorse
12016,N=Hippopotamus amphibius,C=Hippopotamus
12017,N=Hipposideros armiger,C=Great Himalayan leaf-nosed bat
12018,N=Hipposideros ater,C=Dusky leaf-nosed bat
12019,N=Hippocampus barbouri,C=Barbour's seahorse
12020,N=Hipposideros bicolor,C=Bicolored leaf-nosed bat
12021,N=Hippocampus breviceps,C=Short-head seahorse
12022,N=Hippocampus camelopardalis,C=Giraffe seahorse
12023,N=Hippotion celerio,C=Grapevine hawk moth
12024,N=Hipposideros caffer,C=Sundevall's leaf-nosed bat
12025,N=Hippocampus comes,C=Tiger tail seahorse
12026,N=Hippodamia convergens,C=Convergent lady beetle
12027,N=Hippocampus capensis,C=Knysna seahorse
12028,N=Hippocampus coronatus,C=Crowned seahorse
12029,N=Hipposideros cervinus,C=Fawn-colored leaf-nosed bat
12030,N=Hipposideros diadema,C=Diadem leaf-nosed bat
12031,N=Hippocrepis emerus,C=Scorpion senna
12032,N=Hippotragus equinus,C=Roan antelope
12033,N=Hippocampus erectus,C=Lined seahorse
12034,N=Hippocampus guttulatus,C=Long-snouted seahorse
12035,N=Hippoglossus hippoglossus,C=Atlantic halibut
12036,N=Hippocampus hippocampus,C=Short-snouted seahorse
12037,N=Hippocampus histrix,C=Thorny seahorse
12038,N=Hippocampus kuda,C=Spotted seahorse
12039,N=Hippospongia lachne,C=Sheepswool sponge
12040,N=Hippea maritima (strain ATCC 700847 / DSM 10411 / MH2),unknown
12041,N=Hippocampus mohnikei,C=Japanese seahorse
12042,N=Hippotragus niger,C=Sable antelope
12043,N=Hippeastrum papilio,C=Butterfly amaryllis
12044,N=Hippasteria phrygiana,C=Rigid cushion starfish
12045,N=Hippasa partita,C=Funnel-web spider
12046,N=Hippocratea richardiana,unknown
12047,N=Hippeastrum rutilum,C=Amaryllis
12048,N=Hippotion scrofa,C=Coprosma hawk moth
12049,N=Hippocampus spinosissimus,C=Hedgehog seahorse
12050,N=Hippeastrum stylosum,C=Amaryllis
12051,N=Hippocampus subelongatus,C=West Australian seahorse
12052,N=Hipposideros terasensis,C=Formosan leaf-nosed bat
12053,N=Hippocampus trimaculatus,C=Flat-faced seahorse
12054,N=Hippeastrum vittatum,C=Amaryllis
12055,N=Hippuris vulgaris,C=Mare's tail
12056,N=Hirschia baltica (strain ATCC 49814 / DSM 5838 / IFAM 1418),unknown
12057,N=Hirschfeldia incana,C=Mediterranean mustard
12058,N=Hirundichthys marginatus,C=Banded flyingfish
12059,N=Hirudo medicinalis,C=Medicinal leech
12060,N=Hirudo nipponia,C=Korean blood-sucking leech
12061,N=Hirtodrosophila pictiventris,C=Fruit fly
12062,N=Hirundo rustica,C=Barn swallow
12063,N=Hirame rhabdovirus (strain Korea/CA 9703/1997),C=HIRRV
12064,N=Hirsutella thompsonii,unknown
12065,N=His1 virus (isolate Australia/Victoria),C=His1V
12066,N=His 1 virus,C=His1V
12067,N=His 2 virus,C=His2V
12068,N=Histiona aroides,C=Flagellate
12069,N=Histrionicus histrionicus,C=Harlequin duck
12070,N=Hisparonia hystrix,C=Sap beetle
12071,N=Histomonas meleagridis,C=Parasitic protozoan
12072,N=Historis odius,C=Stinky leafwing butterfly
12073,N=Histophilus somni (strain 2336),unknown
12074,N=Histophilus somni,unknown
12075,N=Histiopterus typus,C=Sailfin armourhead
12076,N=Human klassevirus 1,C=HKV-1
12077,N=Helicobasidium mompa endornavirus 1-670,C=HmEV
12078,N=Human metapneumovirus (strain CAN97-83),C=HMPV
12079,N=Hodomys alleni,C=Allen's woodrat
12080,N=Hodgkinia cicadicola (strain Dsem),unknown
12081,N=Hodotermopsis japonicus,C=Japanese damp-wood termite
12082,N=Hoeflea phototrophica (strain DSM 17068 / NCIMB 14078 / DFL-43),unknown
12083,N=Hoffmannihadrurus aztecus,C=Mexican scorpion
12084,N=Hofmeisteria fasciculata,unknown
12085,N=Hoffmannihadrurus gertschi,C=Scorpion
12086,N=Hofstenia miamia,C=Three-banded panther worm
12087,N=Hogna carolinensis,C=Carolina wolf spider
12088,N=Holocentrus adscensionis,C=Squirrelfish
12089,N=Holothuria atra,C=Black sea cucumber
12090,N=Holochilus brasiliensis,C=Web-footed marsh rat
12091,N=Hololena curta,C=Funnel-web spider
12092,N=Holotrichia diomphalia,C=Korean black chafer
12093,N=Holothuria edulis,C=Edible sea cucumber
12094,N=Holothuria floridana,C=Florida sea cucumber
12095,N=Holothuria fuscogilva,C=White teatfish
12096,N=Holothuria fuscopunctata,C=Elephant trunkfish
12097,N=Holothuria glaberrima,C=Brown rock sea cucumber
12098,N=Holcus lanatus,C=Yorkshire-fog
12099,N=Holothuria leucospilota,C=Black long sea cucumber
12100,N=Holbrookia maculata,C=Lesser earless lizard
12101,N=Holothuria nobilis,C=Black teatfish
12102,N=Holospora obtusa,unknown
12103,N=Holotrichia oblita,C=Chafer beetle
12104,N=Holotrichia parallela,C=Dark black chafer beetle
12105,N=Holocnemus pluchei,C=Marbled cellar spider
12106,N=Holocentrus rufus,C=longspine squirrelfish
12107,N=Holorusia rubiginosa,C=Giant crane fly
12108,N=Holmskioldia sanguinea,C=Chinese hat
12109,N=Homalonychus selenopoides,C=Desert spider
12110,N=Holothuria tubulosa,C=Tubular sea cucumber
12111,N=Holothuria whitmaei,C=Teatfish
12112,N=Homaemus aeneifrons,C=Shield-backed bug
12113,N=Homarus americanus,C=American lobster
12114,N=Homostichanthus duerdeni,C=Sea anemone
12115,N=Homarus gammarus,C=European lobster
12116,N=Homoroselaps lacteus,C=Spotted harlequin snake
12117,N=Homona magnanima,C=Oriental tea tortrix moth
12118,N=Homo sapiens neanderthalensis,C=Neanderthal
12119,N=Homoeomma sp.,C=Peruvian tarantula
12120,N=Homatula variegata,C=Stone loach
12121,N=Homalodisca vitripennis,C=Glassy-winged sharpshooter
12122,N=Hongeo koreana,C=Korean skate
12123,N=Hoodia gordonii,C=Hoodia cactus
12124,N=Hoolock hoolock,C=Western hoolock gibbon
12125,N=Hookeria lucens,C=Moss
12126,N=Hoodia parviflora,C=Kalahari South African desert hoodia cactus
12127,N=Hoplocoryphella grandis,C=Stick mantid
12128,N=Hoplomys gymnurus,C=Armored rat
12129,N=Hoplosternum littorale,C=Hassar
12130,N=Hoplocorypha cf. macra (strain RK-2010),C=Praying mantis
12131,N=Hopia obtusa,C=Vine mesquite
12132,N=Hoplobatrachus occipitalis,C=African groove-crowned bullfrog
12133,N=Hoplarchus psittacus,C=True parrot cichlid
12134,N=Hoplobatrachus rugulosus,C=Chinese edible frog
12135,N=Hoplocercus spinosus,C=Club-tail iguana
12136,N=Hoplocephalus stephensii,C=Stephens' banded snake
12137,N=Hoplobatrachus tigerinus,C=Indian bull frog
12138,N=Horabagrus brachysoma,C=Gunther's catfish
12139,N=Hordeum bulbosum,C=Bulbous barley
12140,N=Hormiphora californensis,C=Sea gooseberry
12141,N=Hordeum chilense,C=Barley
12142,N=Hormonema carpetanum,unknown
12143,N=Hormathia digitata,C=Subarctic sea anemone
12144,N=Hordeum jubatum,C=Foxtail barley
12145,N=Hordeum lechleri,C=Wild barley
12146,N=Hordeum marinum,C=Seaside barley
12147,N=Hordeum murinum subsp. glaucum,C=Smooth barley
12148,N=Hordeum murinum subsp. leporinum,C=Mouse barley
12149,N=Hordeum murinum,C=Mouse barley
12150,N=Horminum pyrenaicum,C=Dragonmouth
12151,N=Hordeum secalinum,C=Meadow barley
12152,N=Equus caballus,C=Horse
12153,N=Hormathophylla spinosa,C=Madwort
12154,N=Hordeum vulgare var. distichon,C=Barley
12155,N=Hordeum vulgare subsp. spontaneum,C=Wild barley
12156,N=Hordeum vulgare,C=Barley
12157,N=Hordeum vulgare subsp. vulgare,C=Domesticated barley
12158,N=Hormurus waigiensis,C=Australian rainforest scorpion
12159,N=Hortaea werneckii,unknown
12160,N=Hostilia carinata,C=Cockroach
12161,N=Hottentotta judaicus,C=Black scorpion
12162,N=Hottonia palustris,C=Water-violet
12163,N=Hottentotta tamulus,C=Eastern Indian scorpion
12164,N=Hottentotta tamulus sindicus,C=Scorpion
12165,N=Houbaropsis bengalensis,C=Bengal florican
12166,N=Houstonia caerulea,C=Azure bluet
12167,N=Houttuynia cordata,C=Chameleon plant
12168,N=Houstonia longifolia,C=Long-leaved summer bluet
12169,N=Howella brodiei,C=Pelagic basslet
12170,N=Hoya carnosa,C=Wax plant
12171,N=Hoya lanceolata subsp. bella,C=Miniature wax plant
12172,N=Hoya pubicalyx,C=Wax plant
12173,N=Hoyosella subflava (strain DSM 45089 / JCM 17490 / NBRC 109087 / DQS3-9A1),unknown
12174,N=Duck hepatitis B virus (isolate brown Shanghai duck S5),C=DHBV
12175,N=Duck hepatitis B virus (strain China),C=DHBV
